creator;country of citizenship;educated at;lat_educated_at;lon_educated_at;place of birth;place of burial;place of death;sex or gender;fonte_educated_at;confianca_educated_at;observacoes_pesquisa;fonte_place_of_birth;confianca_place_of_birth;acervo;onde estudou;datas em que estudou;fonte_datas_estudo;confianca_preenchimento;lat_birth;lon_birth;score_birth;lat_death;lon_death;score_death;fonte_place_of_death;fonte_lat_death;fonte_lon_death;observacoes_place_of_death;confianca_place_of_death
Juan Pablo Machado;France;Émile Cohl School;45.7569;4.8658;Cali, Colombia;;;male;;;;FILE Festival;alta;FILE;;;;;3.4529814;-76.5187809;100.0;;;;;;;"atividade recente documentada; sem evidência de óbito";
Juan Ventayol;Uruguay;Círculo Fomento de Bellas Artes> estudos com Guillermo Laborde;> ;> ;Montevideo;;Montevideo;male;https://www.museos.gub.uy/arteactivo/artistas/item/ventayol-juan.html | https://www.catalogodasartes.com.br/artista/Juan%20Ventayol/;;;Wikidata;alta;MAC USP;Montevidéu (Uruguai);1933-1938;https://www.catalogodasartes.com.br/artista/Juan%20Ventayol/;alta;-34.9055557;-56.1852505;100.0;-34.9058333333;-56.1913888889;100.0;"Museo Nacional de Artes Visuales; Wikipedia";Wikidata: Montevideo;Wikidata: Montevideo;;media
Juarez Silveira;;Faculdade de Arquitetura e Urbanismo da Universidade de São Paulo (FAU-USP);-23.56012;-46.72985;;;;male;https://enciclopedia.itaucultural.org.br/pessoa24332/juarez-silveira;;A formação acadêmica aberta consultada é em arquitetura.;;;Museu Paulista;São Paulo;;;media;;;;;;;;;;"homônimo não desambiguado com segurança; sem preenchimento de óbito";
Judith Lauand;Brazil;Escola de Belas-Artes de Araraquara> estudos de gravura com Lívio Abramo;-21.793895;-48.179486;Pontal;;São Paulo;female;https://www.escritoriodearte.com/artista/judith-lauand;;na escola de Araraquara aprende pintura com Mario Ybarra de Almeida e Domenico Lazzarini;Wikidata;alta;MAC USP;Araraquara, Brasil> São Paulo, Brasil;até 1950> 1952;https://www.escritoriodearte.com/artista/judith-lauand;alta;-21.0227393;-48.0379355;100.0;-23.5503944444;-46.6339472222;100.0;"Fundação Vera Chaves Barcellos; Bienal de São Paulo";Wikidata: São Paulo (Q174);Wikidata: São Paulo (Q174);;alta
Jules Ballá;France;Beaux-Arts de Paris> ateliê e prática artística francesa> instituição não identificada com clareza em fonte aberta;48.85680555555555> >;2.333277777777778> >;Rio de Janeiro;;;male;https://www.brasilianaiconografica.art.br/;;Mantido em formulação prudente por falta de detalhe aberto.;Wikidata;alta;Museu Paulista;Paris;;;baixa;-22.9014475;-43.1789159;100.0;;;;;;;"local de óbito removido na auditoria; não localizei fonte aberta suficientemente robusta para manter o preenchimento";
Jules Le Chevrel;France;École des Beaux-Arts de Paris;48.85680555555555;2.333277777777778;France;;Rio de Janeiro;male;https://pt.wikipedia.org/wiki/Jules_Le_Chevrel;;A fonte aberta consultada identifica a escola, mas não detalha cronologia fina.;Wikidata;alta;Museu Histórico Nacional;Paris;;;alta;46.559417044;2.550539953;100.0;-22.9111111111;-43.2055555556;100.0;Enciclopédia Itaú Cultural;Wikidata: Rio de Janeiro;Wikidata: Rio de Janeiro;;alta
Jules Marie Vincent de Sinety;France;escola da Marinha de Angoulême;45.64888888888889;0.16083333333333333;Aix-en-Provence;;Avignon;male;https://www.brasilianaiconografica.art.br/artigos/23686/0;;A fonte ressalta que se trata de oficial da Marinha e artista amador> registrei apenas a formação documentada.;Wikidata;alta;Pinacoteca de São Paulo;Angoulême, França;1827;https://www.brasilianaiconografica.art.br/artigos/23686/0;alta;43.529850239;5.447376271;100.0;43.949315226;4.805311547;100.0;Ecole Navale / Espace tradition;Wikidata: Avignon;Wikidata: Avignon;;alta
Jules Victor Génisson;Belgium;Royal Academy of Fine Arts of Antwerp;51.2234;4.4069;Saint-Omer;;Bruges;male;https://en.wikipedia.org/wiki/Jules_Victor_G%C3%A9nisson | https://www.niceartgallery.com/artist/jules-victor-genisson.html;;As fontes citam estudo com Mattheus Ignatius van Bree.;Wikidata;alta;Pinacoteca de São Paulo;Antuérpia;;;alta;50.7519062;2.25360383;100.0;51.2089;3.2242;100.0;Wikipedia (fr);Wikidata: Bruges;Wikidata: Bruges;coordenadas ajustadas para o centro urbano de Bruges após auditoria;media
Jules-Victor-André Martin;France;École des Beaux-Arts de Marseille> ateliê de pintura em Paris;48.85666666666667;2.352222222222222;Montiers;Consolação Cemetery;São Paulo;male;https://pt.wikipedia.org/wiki/Jules_Martin | https://jundpedia.com.br/martin-jules-victor-andre/ | https://www.brasilianaiconografica.art.br/autores/20121/jules-martin;;As fontes indicam formação em desenho na escola de Marselha e trabalho/aperfeiçoamento em ateliê parisiense.;Wikidata;alta;Museu Paulista;Marselha> Paris;1844> 1852-1855;https://pt.wikipedia.org/wiki/Jules_Martin | https://jundpedia.com.br/martin-jules-victor-andre/;alta;49.50056;2.57806;100.0;-23.5503944444;-46.6339472222;100.0;Wikipedia;Wikidata: São Paulo (Q174);Wikidata: São Paulo (Q174);;media
Julien Hazebroucq;France;Supinfocom Arles (atual MOPA);43.67670;4.6278;France;;;male;Digital Production;médio;FILE explicita “País de Origem: França”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;;46.559417044;2.550539953;100.0;;;;;;;"atividade recente documentada; sem evidência de óbito";
Julien Regnard;Belgium;La Cambre Art School;50.818888888889;4.3741666666667;Versailles, France;;;male;FILE;alto;;Message to Man;media;FILE;;;;;48.8047472;2.1205122;100.0;;;;;;;"atividade recente documentada; sem evidência de óbito";
Juliette Viger;France;The Animation Workshop;56.4561;9.40611;France;;;female;FILE> site oficial;alto;Biografia do FILE explicita que a artista nasceu na França> preenchido em nível de país.;FILE Festival (biografia do artista);alta;FILE;;;;;46.559417044;2.550539953;100.0;;;;;;;"atividade recente documentada; sem evidência de óbito";
Julius Bissier;Germany;University of Freiburg> Academy of Fine Art Karlsruhe;47.994166666667;7.8469444444444;Freiburg im Breisgau;;Ascona;male;https://www.bissier.org/en/biography;;As fontes confirmam estudos de história da arte em Freiburg e breve passagem pela academia de Karlsruhe.;Wikidata;alta;MAC USP;Freiburg, Alemanha> Karlsruhe, Alemanha;c. 1913–1918> c. 1913–1914;https://lorenzelliarte.com/en/artists/33-julius-bissier/biography/;media;47.994785999;7.849876999;100.0;46.15451;8.77327;100.0;Archivio Bissier;Wikidata: Ascona;Wikidata: Ascona;;alta
Julius Horsthuis;Netherlands;Open Studio, Amsterdam;52.36666666666667;4.883333333333333;Amsterdam, Netherlands;;;male;Playgrounds> Open Studio;baixo;;site oficial do artista;médio;FILE;;;;;52.361524688;4.890870311;;;;;;;;"atividade recente documentada; sem evidência de óbito";
Julius L. Stewart;United States of America;;;;Philadelphia, Pennsylvania, Estados Unidos;;Paris;male;;;;Smithsonian American Art Museum;alta;;;;;;39.9510605;-75.1656204;;48.856372814;2.352529617;100.0;"Smithsonian American Art Museum; Wikipedia";Wikidata: Paris;Wikidata: Paris;"variante abreviada do nome; tratado como duplicata segura de Julius LeBlanc Stewart";media
Julius Leblanc Stewart;United States;Beaux-Arts de Paris> École des Beaux-Arts;48.85666666666667;2.333611111111112;Philadelphia;;Paris;male;Wikipedia> Google Arts & Culture;;também estudou com Eduardo Zamacois e Jean-Léon Gérôme;Wikidata;alta;Museu Paulista;Paris, França;;;media;39.9510605;-75.1656204;100.0;48.856372814;2.352529617;100.0;"Smithsonian American Art Museum; Wikipedia";Wikidata: Paris;Wikidata: Paris;;media
Julián Angarita;Colombia;Universidad de los Andes;-33.404007;-70.507468;Colombia;;;male;FILE> CV pessoal;alto;FILE explicita “País de Origem: Colômbia”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;;3.901115804;-73.075754924;100.0;;;;;;;"atividade recente documentada; sem evidência de óbito";
Jurgen Trautwein;Germany;University of the Arts Berlin;52.50916666666667;13.32694444444444;Bruchsal, Germany;;;male;Project Space Byi;médio;;site oficial do artista / Galerie Marek Kralewski;alto;FILE;;;;;49.125784999;8.5977;100.0;;;;;;;"atividade recente documentada; sem evidência de óbito";
Juuke Schoorl;Netherlands;Royal Academy of Art, The Hague (KABK);52.08161111111111;4.319166666666667;Netherlands;;;female;KABK alumni> FILE;médio;FILE explicita “País de Origem: Países Baixos / Holanda”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;;52.249375293;5.616126398;100.0;;;;;;;"atividade recente documentada; sem evidência de óbito";
Jérémy Oury;France;ENSATT;45.7533;4.81142;France;;;male;diplomatie.gouv.fr> Videomapping Resources;médio;FILE explicita “País de Origem: França”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;;46.559417044;2.550539953;100.0;;;;;;;"atividade recente documentada; sem evidência de óbito";
Júlio de Resende;;Escola Superior de Belas-Artes do Porto> Académie de la Grande Chaumière;41.15;-8.610833333333334;Porto, Portugal;;Valbom;male;biografia institucional do artista> fontes de referência;;aperfeiçoamento posterior em Paris;Fundação Júlio Resende;alta;MAC USP;Porto, Portugal> Paris, França;1937–1945> c. 1947;biografia institucional do artista> fontes de referência;media;41.1501526;-8.610318;;41.13247;-8.56414;100.0;"RTP; Wikipedia";Wikidata: Valbom;Wikidata: Valbom;topônimo normalizado para Valbom (Gondomar);media
Júnior Suci;;Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP)> Instituto de Artes da Universidade Estadual de Campinas (UNICAMP);-22.8172> -22.817222222222;-47.0694> -47.069444444444;Americana, SP, Brasil;;;male;Memorial da América Latina> Casa Museu Ema Klabin;;instituições identificadas> datas dos estudos não localizadas com precisão;MAC USP;alta;MAC USP;;;;alta;-10.769946429;-53.073466889;;;;;;;;"atividade recente documentada; sem evidência de óbito";
Kai Welf Hoyme;Germany;Academy of Media Arts Cologne (KHM)> Ruhr-University of Bochum;50.93475582568144> 51.443888888889;6.962159950772375> 7.2616666666667;Mönchengladbach, Germany;;;male;site oficial do artista;alto;;site oficial do artista / FILE Festival;alto;FILE;;;;;51.194472999;6.43161;100.0;;;;;;;"atividade recente documentada; sem evidência de óbito";
Kang Hyeun;South Korea;;;;South Korea;;;;;;FILE explicita “País de Origem: Coreia do Sul”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;;35.907757;127.766922;;;;;;;;"atividade recente documentada; sem evidência de óbito";
Kara Gut;United States;Cranbrook Academy of Art;42.567788874683096;-83.25154634187616;Cleveland, Ohio, USA;;;female;FILE Festival> United States Artists;média;;Pioneer Works;alto;FILE;;;;;41.5051414;-81.6914575;100.0;;;;;;;"atividade recente documentada; sem evidência de óbito";
Karel Appel;Kingdom of the Netherlands;Royal Academy of Fine Arts> Rijksakademie van beeldende kunsten;52.36222222222222;4.917777777777777;Amsterdam;Père Lachaise Cemetery;Zurich;male;https://karelappelfoundation.com/karel-appel/chronology;;A cronologia da fundação confirma ingresso na Rijksakademie em 1942 e proteção estudantil encerrada cerca de dois anos depois.;Wikidata;alta;MAC USP;Amsterdã, Países Baixos;1942–1944;https://karelappelfoundation.com/karel-appel/chronology;alta;52.361524688;4.890870311;100.0;47.3667;8.55;100.0;"Wikipedia; Karel Appel Foundation";Wikidata: Zürich;Wikidata: Zürich;coordenadas urbanas padronizadas para Zürich;media
Karina Smigla-Bobinski;Poland;Academy of Fine Arts in Kraków> Academy of Fine Arts in Munich;50.066389> 48.1531959202723;19.941667> 11.5803123911292;Szczecin;;;female;FILE Festival;médio;;Wikidata;alta;FILE;;;;;53.425109842;14.550810974;100.0;;;;;;;"atividade recente documentada; sem evidência de óbito";
Karl Baumann;United States;University of Southern California (USC);34.021667;-118.285278;Leipzig;;San Francisco;male;FILE Festival;média;;Wikidata;alta;FILE;;;;;51.338287999;12.377931001;100.0;37.7800771;-122.4201615;100.0;Wikipedia;Wikidata: San Francisco;Wikidata: San Francisco;;media
Karl Ernst Papf;Brazil;Academy of Fine Arts Dresden;51.05284167;13.74244444;Dresden;;São Paulo;male;https://en.wikipedia.org/wiki/Karl_Ernst_Papf;;Registro mantido de forma prudente por escassez de cronologia detalhada.;Wikidata;alta;Pinacoteca de São Paulo;Dresden;;;baixa;51.051696999;13.736883;100.0;-23.5503944444;-46.6339472222;100.0;"Pinacoteca de São Paulo / Google Arts & Culture; Brasiliana Iconográfica";Wikidata: São Paulo (Q174);Wikidata: São Paulo (Q174);"fonte institucional usa São Paulo; fonte secundária recente situa a residência final em Fazenda das Palmeiras, Mogi das Cruzes";media
Karl Munstedt;United States;Pratt Institute;40.691111;-73.963889;Boston, Massachusetts, USA;;;male;site oficial do artista | Currents New Media;alto;;CURRENTS New Media;alto;FILE;;;;;42.3589942;-71.0586293;;;;;;;;"atividade recente documentada; sem evidência de óbito";
Karl Plattner;Italy;Brera Academy> Accademia di Belle Arti di Venezia;45.47222222> 45.4286;9.18888889> 12.3305;Mals;;Milan;male;https://de.wikipedia.org/wiki/Karl_Plattner;;;Wikidata;alta;MAC USP;Veneza, Itália;1937–1941;https://de.wikipedia.org/wiki/Karl_Plattner;media;46.6889259;10.5476666;100.0;45.46427;9.18951;100.0;"Wikipedia; Karl Plattner Archivio";Wikidata: Milan;Wikidata: Milan;;media
Karl Robert von Planitz;;Akademie der Bildenden Künste Dresden;51.05284167;13.74244444;Eilenburg;;Rio de Janeiro;male;https://de.wikipedia.org/wiki/Karl_Robert_Planitz;;datas aproximadas;Wikidata;alta;Pinacoteca de São Paulo;Dresden, Alemanha;1920s;https://de.wikipedia.org/wiki/Karl_Robert_Planitz;media;51.459845;12.632788;100.0;-22.9111111111;-43.2055555556;100.0;"Wikipedia; Fundação Casa de Rui Barbosa";Wikidata: Rio de Janeiro;Wikidata: Rio de Janeiro;registro biográfico também aparece como Carl Robert von der Planitz;media
Karni;Israel;Bezalel Academy of Art and Design;31.781166666666667;35.22361111111111;Israel;;;female;FILE Festival — biografia de Karni;médio;FILE explicita “País de Origem: Israel”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;;31.977711512;34.979217692;100.0;;;;;;;"atividade recente documentada; sem evidência de óbito";
Karoline Georges;Canada;Université du Québec à Montréal;45.513888888889;-73.560277777778;Montreal, Quebec, Canada;;;female;;;;FILE Festival / Wikipedia;alto;FILE;;;;;45.508867;-73.554242;100.0;;;;;;;;
Karsten Hoof;Kingdom of Denmark;The Animation Workshop;56.4561;9.40611;Denmark;;;male;Ox and Bird — Our team;alto;FILE explicita “País de Origem: Dinamarca”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;;55.959300779;10.053934054;100.0;;;;;;;;
Kassiani Kappelos;Greece;University of the Arts London;51.5178;-0.116389;Greece;;;female;FILE Festival;médio;FILE explicita “País de Origem: Grécia”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;;39.0;22.0;100.0;;;;;;;;
Katarina Lundquist;Norway;The Animation Workshop;56.4561;9.40611;Norway;;;female;;;;Animafest / FILE Festival;alto;FILE;;;;;62.0;10.0;100.0;;;;;;;;
Katherina Tsirakis;Brazil;Pontifícia Universidade Católica de São Paulo (PUC-SP)> Fundação Armando Alvares Penteado (FAAP)> Limón Foundation;40.829304;-73.943767;São Paulo, Brazil;;;female;site oficial da artista;média;;FilmFreeway (perfil da artista);médio;FILE;;;;;-23.5486657;-46.6382522;100.0;;;;;;;;
Kazuhiro Goshima;Japan;Kyoto Institute of Technology;35.049389;135.781853;Shizuoka Prefecture, Japan;;;male;transmediale;médio;;site oficial do artista / FILE Festival;alto;FILE;;;;;34.97515624;138.3832445;100.0;;;;;;;;
Kazuo Wakabayashi;Japan;Escola Técnica de Hikone> Escola de Belas Artes> Academia Niki;35.27436111111111;136.2597222222222;Kobe;;;male;https://enciclopedia.itaucultural.org.br/pessoas/1011-wakabayashi;;também frequenta aulas de desenho e pintura de Kanosuke Tamura;Wikidata;alta;MAC USP;Hikone, Shiga, Japão> Tóquio, Japão> Tóquio, Japão;1944> 1947–1950> 1947–1950;https://enciclopedia.itaucultural.org.br/pessoas/1011-wakabayashi;alta;34.68942768;135.19575707;100.0;;;;;;;óbito confirmado, mas não localizei local de morte explícito em fonte auditável nesta rodada.;
Keigo Matsumoto;Japan;University of Tokyo;35.71339;139.76232;Kumamoto, Japan;;;male;;;;Universidade de Tóquio (página do projeto Unlimited Corridor);alto;FILE;;;;;32.8031;130.7079;;;;;;;;;
Keiya Sugano;;Tokyo University of the Arts;35.7195782;139.7726862;Tóquio, Japão;;;male;fontes biográficas de referência;;instituição identificada em fontes sumárias;Enciclopédia Itaú Cultural;alta;MAC USP;Tóquio, Japão;s.d.;fontes biográficas de referência;baixa;35.67686;139.763895;;;;;;;;;
Kelley Bell;United States;University of Maryland, Baltimore County> Pratt Institute;39.25555555555555> 40.691111;-76.71138888888889> -73.963889;United States;;;female;FILE Festival;médio;FILE explicita “País de Origem: Estados Unidos”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;;39.398703156;-99.41461919;100.0;;;;;;;;
Kenny Scharf;United States;School of Visual Arts;40.73861111;-73.98222222;Hollywood;;;male;fontes biográficas de referência;;;Wikidata;alta;MAC USP;Nova York, EUA;1978–1980;fontes biográficas de referência;alta;26.0117574;-80.1390551;100.0;;;;;;;"atividade recente documentada; sem evidência de óbito.";
Kevin Lesur;France;;;;France;;;male;;;FILE explicita “País de Origem: França”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;;46.559417044;2.550539953;100.0;;;;;;;;
Kevin Welsh;United States;Savannah College of Art and Design;32.073;-81.0961;United States;;;male;FILE Festival;médio;FILE explicita “País de Origem: United States”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;alta;39.398703156;-99.41461919;100.0;;;;;;;;
Khalil Charif;Brazil;Parsons School> New York University> Escola de Artes Visuais do Parque Lage> Pontifícia Universidade Católica do Rio de Janeiro;-22.9606> -22.97868;-43.212> -43.232819;Rio de Janeiro;;;male;FILE Festival;médio;;Wikidata;alta;FILE;;;;;-22.9014475;-43.1789159;100.0;;;;;;;"atividade recente documentada; sem evidência de óbito.";
Kian Hossein;Iran;Qazvin Islamic Azad University (QIAU);36.3212;50.036;Tehran, Iran;;;male;FILE Festival> site oficial do artista;média;Biografia do FILE explicita nascimento em Teerã.;FILE Festival (biografia do artista);alta;FILE;;;;;35.6863968;51.4328575;;;;;;;;;
Kim Laughton;People's Republic of China;;;;China;;;male;;;FILE explicita “País de Origem: China”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;;36.567348398;103.930027033;100.0;;;;;;;;
Kim Strandli;Norway;The Animation Workshop;56.4561;9.40611;Norway;;;male;FILE Festival> site oficial do artista;média;FILE explicita “País de Origem: Noruega”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;;62.0;10.0;100.0;;;;;;;;
